0;T;29,32,1,48
1;Y;41,21,55,10,16,5
2;Z;32,42,6,33,40,48,27,46,21,13,57,34,24
3;Z;19,53,24,29,26,16,28,44
4;W;57,42,53,30,18,12
5;U;52,20,39,57,40,26,35,17,23,47,18,50,49
6;M;13,51,37,47,46,8,57
7;Q;54,24,19,8,16,29,42,30,56,15,27
8;K;20
9;W;51,49,30,56,47,29,53
10;Z;49
11;I;28,27,43
12;R;24,58,46
13;B;55,30
14;I;28,47,35
15;J;
16;J;30,50,25,57
17;U;
18;S;50,29,59,31
19;O;53
20;C;32,43
21;N;57,47,40
22;D;45,47
23;R;52,55,33
24;I;41,52
25;J;29
26;D;29,46,54,58
27;B;
28;Z;45,50,51,57
29;G;49
30;W;40
31;F;
32;B;44
33;S;56,49,57
34;N;
35;Y;56,49
36;V;49,43
37;A;
38;E;48,41
39;I;
40;J;43,51,50
41;Q;47,49,59
42;Q;49,50,53
43;W;48,55,53,45
44;G;50,58,47
45;W;49,56
46;Z;57
47;R;51,48,57,58
48;K;51
49;L;
50;N;55,52
51;L;56,52,53,55
52;W;58,56,55
53;H;59
54;B;57,59
55;R;
56;X;
57;V;
58;F;
59;I;
