0;E;46,32,29,35,37,22,30,39,48,4,38,50,49,28
1;W;35,22,20,32,12,17,16,29
2;U;34,48,41,9,53,59,56,35,52,6,3,22
3;E;41,57,47,48,22,6
4;Q;59,28,25,35,38,19,21,18,39,32,26,31,22
5;B;23,55,12,13,32,29,26,53
6;P;7,14,42,31,29,46,49,47,50
7;W;19,24,47,18,50,33,34
8;D;36,49,52,9,41,12,14
9;S;28,42,24,43,50,22,29
10;L;19,14,11
11;N;51,44,40,46
12;C;59,54,15,20
13;K;
14;F;24,43,22,39
15;C;49,54,51,19
16;V;45,34,40,50
17;O;35,20,37
18;A;24,28
19;Z;51,59,38,22
20;S;48
21;V;23,46
22;C;35,44
23;O;40
24;E;40,48,56,44
25;A;
26;Q;30,27
27;V;28,42
28;F;56,34,51,30
29;A;54,32,38
30;N;55,45,46,38
31;O;
32;Q;
33;N;59,46,49,42
34;I;39,44
35;G;37,55,49,58
36;E;58,51
37;Z;52,39,54
38;Y;56,47,50
39;P;52
40;Q;42,50,53
41;V;53,42,51,45
42;D;49,45
43;O;
44;R;48,45
45;C;58,48
46;A;47,50,54
47;V;51,48
48;W;
49;M;59
50;Z;56
51;D;52,56
52;K;53,54
53;L;
54;F;
55;F;
56;K;
57;X;
58;A;
59;I;
